eOthello_game_id,winner,game_moves
1056798,1,f5d6c4d3e6f4e3f6c5b4e7f3c6d7b5a5c3b3g5h5g4h4e2g6b6d8c7c8a4a6a7f1a3c2d2b2e1b7g3h3f2d1a1a2b1a8c1g1f7g8e8f8b8g7h8h7h6h2g2h1
1050515,-1,d3c5f6f5e6e3d6f7b6d7e2c6d8c4e7c3f4c8c7d2d1a6b3f3b8f8b5f2e8a8b4b7a7a5g3f1g4g5h6a4g6e1b2c1c2h3h4g2g7h2h1a1g1b1a2a3h7h8g8h5
996989,1,f5d6c4d3c3f4e6b3e2c5c7f6g5e3e7g6g4h4f3g3f2h6h5d7h3f8d2c1h7f7c8d8c6b5b4b6a5a6d1e1a7a4b7a8b8g7h8c2b1a1a2g8f1b2a3g1g2h1h2e8
977775,0,f5d6c5b4c3e3e2f4f3g4e6g5f6f7e7g3h6c4d3h5g6h7b3e1d7c6a4d2b5b6c7a6c2a3a2a5a7f2d1d8e8f8f1b1c1g1g7c8h3h4h8g8b8g2h1h2a1b2b7a8
900860,1,f5d6c4d3c3f4c5b4g3c6b5f6e2g4e3e6b3a5d7e7f3a3h4c2d1f1e1c1g5g6d2a4b1a1b2f2a2e8h7h5h6h3h2g2f7f8c8d8g8g7h8g1h1b7a8c7b6b8a6a7
867047,1,f5f6c4c3e6f4d3c6c5d6b3c2b5a3b4a6b6a5a4e3c7c8d7e7b2a1a2b7f7f8a8a7d1b1g6h6b8g5h5d8f2f3e8f1g8g7h8h7h4g4h3g3g2h2h1g1e1e2d2
803938,-1,e6f6f5d6c5e3e7c7d7c6b5f4d3e8c8c4f8d8c3d2f7b3c2b4a4a3d1a6b6a5f2g6h6g5h5e2g4f3g3f1e1c1g2g1a2a1b1b2b7a7a8b8h1h4h2h3g8h8g7h7
796466,1,f5d6c4d3c3f4c5b3c2e6c6b4b5d2e3a6c7d7c1g4a5a4g3e2f3d1f6b1h4c8e7f8a2f2d8g5g6h2h3h5f1e8h6h7f7a3a7g8b6g2h1g1h8g7b8b7a8e1a1b2
756031,1,f5d6c4d3c5f4e3f3e2e1g4f6f2f1g3c3g6d2f7h3e7b4e6h4g2b6b5a6b3e8f8g8d7h5a4a5a3a2c6g5b2d8d1a1g1c2c7h1b7a8a7b8h6c1c8h7h8h2g7b1
688212,-1,d3c5f6f5e6e3c3f3c4b4b5c2a3b3d2c1e1d7e7a4a5d6c6a6a7b6d8c8f4f8b8f2a2c7e2d1f1g1f7g3b2g6h5g4e8a8b7h6h4g5g2h1h7g8h3h2g7h8b1a1
693386,-1,f5d6c3d3c4f4c5b5b4b3a6c6b6e6a3f3e2e3a2f1g4g3c7f6g5h5h4h6h2g6c2h3h7d2d1e1g1b1f2b7d7d8f7e7e8b8a8a4a5a7c8a1b2c1g7h1h8g8g2f8
